2017-05-02 13:22:22,604 [main] INFO  marytts.main Mary starting up...
2017-05-02 13:22:22,607 [main] INFO  marytts.main Specification version 5.2
2017-05-02 13:22:22,607 [main] INFO  marytts.main Implementation version unknown
2017-05-02 13:22:22,607 [main] INFO  marytts.main Running on a Java 1.8.0_74 implementation by Oracle Corporation, on a Mac OS X platform (x86_64, 10.12.3)
2017-05-02 13:22:22,686 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2017-05-02 13:22:22,689 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2017-05-02 13:22:22,816 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2017-05-02 13:22:22,817 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2017-05-02 13:22:22,873 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2017-05-02 13:22:22,873 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2017-05-02 13:22:22,914 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2017-05-02 13:22:22,917 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2017-05-02 13:22:22,918 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2017-05-02 13:22:22,919 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2017-05-02 13:22:22,919 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2017-05-02 13:22:22,920 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2017-05-02 13:22:22,921 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2017-05-02 13:22:22,922 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2017-05-02 13:22:22,922 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2017-05-02 13:22:22,923 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2017-05-02 13:22:22,923 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2017-05-02 13:22:22,923 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2017-05-02 13:22:22,923 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-05-02 13:22:22,924 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2017-05-02 13:22:22,924 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2017-05-02 13:22:22,924 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2017-05-02 13:22:22,924 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2017-05-02 13:22:22,925 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2017-05-02 13:22:22,926 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2017-05-02 13:22:22,926 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2017-05-02 13:22:22,927 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2017-05-02 13:22:22,930 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2017-05-02 13:22:22,972 [main] INFO  marytts.JTokeniser Starting power-on self test.
